DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Jul-2026,Rank_Jul-2026
blueflood,blueflood,blueflood,Normal,Y_auto,Blueflood,"Wide column,Key-value",Java,HTTP / REST,Shared-Nothing,Rackspace,US,2013,2022,Open Source,Apache v2.0,rax-maas/blueflood,10081109,Y,0.06,355
bojack,bojack,,X_Single,Y_auto,BoJack,Key-value,Crystal,Command-line / Shell,Shared-Everything,Marcelo Boeira,DE,2016,2018,Open Source,MIT License,marceloboeira/bojack,62980788,Y,,
boltdb,boltdb,boltdb,Normal,Y_auto,BoltDB,Key-value,Go,Custom API,Embedded,Ben Johnson,US,2013,2017,Open Source,MIT License,boltdb/bolt,15345331,Y,0.54,238
bonsaidb,bonsaidb,,X_Single,Y_auto,BonsaiDb,Key-value,Rust,,"Shared-Everything,Embedded",Khonsu Labs,US,2021,2024,Open Source,"Apache v2,MIT License",khonsulabs/bonsaidb,349627612,Y,,
brightstardb,brightstardb,brightstardb,Normal,Y_auto,BrightstarDB,RDF,C#,,,,GB,2012,2023,Open Source,MIT License,BrightstarDB/BrightstarDB,8335020,Y,0.0,387
brodb,brodb,,X_Single,Y_auto,BroDB,Relational,Go,Custom API,Embedded,Darshan Gaikwad,IN,2024,2025,"Hobby,Open Source",,darshan117/BroSql,824462634,Y,,
btdb,btdb,,X_Single,Y_auto,BTDB,"Key-value,Object Oriented",C#,Custom API,,Boris Letocha,CZ,2010,,Open Source,MIT License,Bobris/BTDB,681142,Y,,
btrdb,btrdb,,X_Single,Y_auto,BTrDB,Relational,Go,,Shared-Disk,"University of California, Berkeley",US,2014,2021,"Academic,Open Source",GPL v3,BTrDB/btrdb-server,22427082,Y,,
bugfruit,bugfruit,,X_Single,Y_auto,bugfruit,Key-value,Go,Custom API,Embedded,Reese Porter,US,2022,2022,"Hobby,Open Source",BSD License,reesporte/bugfruit,494545073,Y,,
buntdb,buntdb,,X_Single,Y_auto,BuntDB,Key-value,Go,,Embedded,Josh Baker,US,2016,,Open Source,MIT License,tidwall/buntdb,63731386,Y,,
bustub,bustub,,X_Single,Y_auto,BusTub,Relational,C++,SQL,,Carnegie Mellon University,US,2019,,"Academic,Educational,Open Source",MIT License,cmu-db/bustub,207663235,Y,,
byconity,byconity,,X_Single,Y_auto,ByConity,Relational,C++,SQL,Shared-Disk,ByteDance Ltd.,CN,2020,2026,"Commercial,Open Source",Apache v2,ByConity/ByConity,581145740,Y,,
c-store,c-store,,X_Single,Y_auto,C-Store,Relational,C++,SQL,Shared-Nothing,"Massachusetts Institute of Technology, Brown University",US,2005,2008,"Academic,Open Source",BSD License,eyalroz/c-store,196702393,Y,,
cachegrand,cachegrand,,X_Single,Y_auto,Cachegrand,Key-value,C,HTTP / REST,,"CacheGrand, Inc.",CH,2018,2025,"Commercial,Open Source",BSD License,danielealbano/cachegrand,125234630,Y,,
calvin,calvin,,X_Single,Y_auto,Calvin,Relational,C++,,,Yale University,US,2012,2015,"Academic,Open Source",,yaledb/calvin,19503320,Y,,
camadb,camadb,,X_Single,Y_auto,CamaDB,Document,TypeScript,Custom API,Embedded,Jack Martin,,2021,2023,"Hobby,Open Source",MIT License,elmarti/camadb,411979983,Y,,
caskdb,caskdb,,X_Single,Y_auto,CaskDB,Key-value,Python,,Embedded,Avinash Sajjanshetty,IN,2022,2024,"Educational,Open Source",MIT License,avinassh/py-caskdb,457763204,Y,,
cassandra,cassandra,apache-cassandra,WebsiteExact:Normal,Y_auto,Apache Cassandra,"Wide column,Key-value",Java,Custom API,Shared-Nothing,Apache Software Foundation,US,2008,2024,Open Source,Apache v2,apache/cassandra,206424,Y,103.06,10
castledb,castledb,,X_Single,Y_auto,CastleDB,Document,Haxe,HTTP / REST,,Nicolas Cannasse,FR,2012,,Open Source,ISC License,ncannasse/castle,5912693,Y,,
cayley,cayley,,X_Single,Y_auto,Cayley,RDF,Go,"GraphQL,Gremlin",,Google LLC,US,2014,2024,Open Source,Apache v2,cayleygraph/cayley,20537104,Y,,
cdb,cdb,,X_Single,Y_auto,cdb,Key-value,,,Shared-Everything,D. J. Bernstein,US,1996,2000,"Hobby,Open Source",Public Domain,jbarham/cdb,3914539,Y,,
